id,prefixo,kx_n_urns,grupo_id,escopo
209,br;minas.gerais;arinos:municipal:lei.organica,2,,leg
210,br;minas.gerais:assembleia.legislativa:deliberacao,2583,,leg
211,br;minas.gerais:assembleia.legislativa:publicacao.oficial;diario.legislativo,4366,,leg
212,br;minas.gerais:assembleia.legislativa:resolucao,5522,,leg
213,br;minas.gerais;careacu:camara.municipal:resolucao,3,,leg
214,br;minas.gerais;careacu:municipal:decreto.legislativo,7,,leg
215,br;minas.gerais;careacu:municipal:lei,34,,leg
216,br;minas.gerais;careacu:municipal:lei.complementar,1,,leg
217,br;minas.gerais;carmo.paranaiba:camara.municipal:regimento.interno,1,,leg
218,br;minas.gerais;carmo.paranaiba:camara.municipal:resolucao,43,,leg
219,br;minas.gerais;carmo.paranaiba:municipal:decreto.legislativo,6,,leg
220,br;minas.gerais;carmo.paranaiba:municipal:lei,463,,leg
221,br;minas.gerais;carmo.paranaiba:municipal:lei.complementar,5,,leg
222,br;minas.gerais;carmo.paranaiba:municipal:lei.organica,1,,leg
223,br;minas.gerais;carneirinho:municipal:decreto,1717,,leg
224,br;minas.gerais;carneirinho:municipal:decreto.legislativo,59,,leg
225,br;minas.gerais;carneirinho:municipal:emenda.lei.organica,33,,leg
226,br;minas.gerais;carneirinho:municipal:lei,1267,,leg
227,br;minas.gerais;carneirinho:municipal:lei.complementar,62,,leg
228,br;minas.gerais;carneirinho:municipal:lei.organica,5,,leg
229,br;minas.gerais;conceicao.ouros:camara.municipal:resolucao,13,,leg
230,br;minas.gerais;conceicao.ouros:municipal:decreto,2,,leg
231,br;minas.gerais;conceicao.ouros:municipal:decreto.legislativo,11,,leg
232,br;minas.gerais;conceicao.ouros:municipal:emenda.lei.organica,2,,leg
233,br;minas.gerais;conceicao.ouros:municipal:lei,1410,,leg
234,br;minas.gerais;conceicao.ouros:municipal:lei.complementar,2,,leg
235,br;minas.gerais;divinopolis:camara.municipal:resolucao,904,,leg
236,br;minas.gerais;divinopolis:municipal:decreto,128,,leg
237,br;minas.gerais;divinopolis:municipal:decreto.legislativo,14,,leg
238,br;minas.gerais;divinopolis:municipal:emenda.lei.organica,44,,leg
239,br;minas.gerais;divinopolis:municipal:lei,7801,,leg
240,br;minas.gerais;divinopolis:municipal:lei.complementar,169,,leg
241,br;minas.gerais;divinopolis:municipal:lei.organica,1,,leg
242,br;minas.gerais;dom.bosco:camara.municipal:resolucao,7,,leg
243,br;minas.gerais;dom.bosco:municipal:emenda.lei.organica,1,,leg
244,br;minas.gerais;dom.bosco:municipal:lei,58,,leg
