id,prefixo,kx_n_urns,grupo_id,escopo
915,br;rio.grande.sul;dom.pedro.alcantara:municipal:lei,282,,leg
916,br;rio.grande.sul;dona.francisca:municipal:decreto,5,,leg
917,br;rio.grande.sul;dona.francisca:municipal:emenda.lei.organica,1,,leg
918,br;rio.grande.sul;dona.francisca:municipal:lei,262,,leg
919,br;rio.grande.sul;dona.francisca:municipal:lei.complementar,1,,leg
920,br;rio.grande.sul;dona.francisca:municipal:lei.organica,1,,leg
921,br;rio.grande.sul;doutor.mauricio.cardoso:municipal:decreto,1,,leg
922,br;rio.grande.sul;doutor.mauricio.cardoso:municipal:emenda.lei.organica,4,,leg
923,br;rio.grande.sul;doutor.mauricio.cardoso:municipal:lei,481,,leg
924,br;rio.grande.sul;doutor.mauricio.cardoso:municipal:lei.organica,1,,leg
925,br;rio.grande.sul;doutor.ricardo:municipal:decreto,66,,leg
926,br;rio.grande.sul;doutor.ricardo:municipal:decreto.legislativo,2,,leg
927,br;rio.grande.sul;doutor.ricardo:municipal:emenda.lei.organica,2,,leg
928,br;rio.grande.sul;doutor.ricardo:municipal:lei,540,,leg
929,br;rio.grande.sul;doutor.ricardo:municipal:lei.organica,1,,leg
930,br;rio.grande.sul;eldorado.sul:municipal:decreto,13,,leg
931,br;rio.grande.sul;eldorado.sul:municipal:decreto.legislativo,1,,leg
932,br;rio.grande.sul;eldorado.sul:municipal:emenda.lei.organica,9,,leg
933,br;rio.grande.sul;eldorado.sul:municipal:lei,1132,,leg
934,br;rio.grande.sul;eldorado.sul:municipal:lei.complementar,27,,leg
935,br;rio.grande.sul;encantado:municipal:decreto,37,,leg
936,br;rio.grande.sul;encantado:municipal:decreto.legislativo,46,,leg
937,br;rio.grande.sul;encantado:municipal:emenda.lei.organica,1,,leg
938,br;rio.grande.sul;encantado:municipal:lei,517,,leg
939,br;rio.grande.sul;encantado:municipal:lei.complementar,8,,leg
940,br;rio.grande.sul;encantado:municipal:lei.organica,1,,leg
941,br;rio.grande.sul;encruzilhada.sul:municipal:decreto,32,,leg
942,br;rio.grande.sul;encruzilhada.sul:municipal:decreto.legislativo,12,,leg
943,br;rio.grande.sul;encruzilhada.sul:municipal:lei,289,,leg
944,br;rio.grande.sul;encruzilhada.sul:municipal:lei.complementar,2,,leg
945,br;rio.grande.sul;encruzilhada.sul:municipal:lei.organica,2,,leg
946,br;rio.grande.sul;engenho.velho:municipal:decreto.legislativo,1,,leg
947,br;rio.grande.sul;engenho.velho:municipal:lei,80,,leg
948,br;rio.grande.sul;entre.ijuis:municipal:decreto,1,,leg
949,br;rio.grande.sul;entre.ijuis:municipal:lei,726,,leg
950,br;rio.grande.sul;entre.ijuis:municipal:lei.complementar,6,,leg
951,br;rio.grande.sul;entre.ijuis:municipal:lei.organica,1,,leg
952,br;rio.grande.sul;entre.rios.sul:municipal:decreto,36,,leg
953,br;rio.grande.sul;entre.rios.sul:municipal:decreto.legislativo,1,,leg
954,br;rio.grande.sul;entre.rios.sul:municipal:decreto.lei,9,,leg
955,br;rio.grande.sul;entre.rios.sul:municipal:emenda.lei.organica,2,,leg
956,br;rio.grande.sul;entre.rios.sul:municipal:lei,156,,leg
957,br;rio.grande.sul;entre.rios.sul:municipal:lei.complementar,4,,leg
958,br;rio.grande.sul;entre.rios.sul:municipal:lei.organica,1,,leg
959,br;rio.grande.sul;erebango:municipal:decreto,5,,leg
960,br;rio.grande.sul;erebango:municipal:emenda.lei.organica,5,,leg
961,br;rio.grande.sul;erebango:municipal:lei,88,,leg
962,br;rio.grande.sul;erebango:municipal:lei.organica,1,,leg
963,br;rio.grande.sul;erechim:municipal:decreto,365,,leg
964,br;rio.grande.sul;erechim:municipal:lei,757,,leg
965,br;rio.grande.sul;ernestina:municipal:decreto,2,,leg
966,br;rio.grande.sul;ernestina:municipal:decreto.legislativo,2,,leg
967,br;rio.grande.sul;ernestina:municipal:emenda.lei.organica,6,,leg
968,br;rio.grande.sul;ernestina:municipal:lei,28,,leg
969,br;rio.grande.sul;ernestina:municipal:lei.complementar,11,,leg
970,br;rio.grande.sul;ernestina:municipal:lei.organica,1,,leg
971,br;rio.grande.sul;erval.grande:municipal:decreto,3,,leg
972,br;rio.grande.sul;erval.grande:municipal:decreto.legislativo,2,,leg
973,br;rio.grande.sul;erval.grande:municipal:emenda.lei.organica,1,,leg
974,br;rio.grande.sul;erval.grande:municipal:lei,223,,leg
975,br;rio.grande.sul;erval.grande:municipal:lei.complementar,1,,leg
976,br;rio.grande.sul;erval.seco:municipal:decreto,46,,leg
977,br;rio.grande.sul;erval.seco:municipal:emenda.lei.organica,3,,leg
978,br;rio.grande.sul;erval.seco:municipal:lei,273,,leg
979,br;rio.grande.sul;erval.seco:municipal:lei.organica,1,,leg
980,br;rio.grande.sul;esmeralda:municipal:decreto,1,,leg
981,br;rio.grande.sul;esmeralda:municipal:decreto.legislativo,5,,leg
982,br;rio.grande.sul;esmeralda:municipal:emenda.lei.organica,1,,leg
983,br;rio.grande.sul;esmeralda:municipal:lei,157,,leg
984,br;rio.grande.sul;esperanca.sul:municipal:decreto,183,,leg
985,br;rio.grande.sul;esperanca.sul:municipal:decreto.legislativo,4,,leg
986,br;rio.grande.sul;esperanca.sul:municipal:lei,305,,leg
987,br;rio.grande.sul;esperanca.sul:municipal:lei.complementar,1,,leg
988,br;rio.grande.sul;espumoso:municipal:decreto,1,,leg
989,br;rio.grande.sul;espumoso:municipal:emenda.lei.organica,4,,leg
990,br;rio.grande.sul;espumoso:municipal:lei,51,,leg
991,br;rio.grande.sul;estacao:municipal:decreto,4,,leg
992,br;rio.grande.sul;estacao:municipal:decreto.legislativo,3,,leg
993,br;rio.grande.sul;estacao:municipal:emenda.lei.organica,1,,leg
994,br;rio.grande.sul;estacao:municipal:lei,199,,leg
995,br;rio.grande.sul;estancia.velha:municipal:decreto,9,,leg
996,br;rio.grande.sul;estancia.velha:municipal:decreto.legislativo,8,,leg
997,br;rio.grande.sul;estancia.velha:municipal:emenda.lei.organica,1,,leg
998,br;rio.grande.sul;estancia.velha:municipal:lei,330,,leg
999,br;rio.grande.sul;estancia.velha:municipal:lei.complementar,41,,leg
1000,br;rio.grande.sul;esteio:municipal:decreto,446,,leg
1001,br;rio.grande.sul;esteio:municipal:decreto.legislativo,26,,leg
1002,br;rio.grande.sul;esteio:municipal:emenda.lei.organica,17,,leg
1003,br;rio.grande.sul;esteio:municipal:lei,617,,leg
1004,br;rio.grande.sul;esteio:municipal:lei.complementar,9,,leg
1005,br;rio.grande.sul;esteio:municipal:lei.organica,1,,leg
1006,br;rio.grande.sul;estrela:municipal:decreto,7,,leg
1007,br;rio.grande.sul;estrela:municipal:decreto.legislativo,3,,leg
1008,br;rio.grande.sul;estrela:municipal:emenda.lei.organica,10,,leg
1009,br;rio.grande.sul;estrela:municipal:lei,1414,,leg
1010,br;rio.grande.sul;estrela:municipal:lei.complementar,2,,leg
1011,br;rio.grande.sul;estrela:municipal:lei.organica,1,,leg
1012,br;rio.grande.sul;estrela.velha:municipal:decreto,2,,leg
1013,br;rio.grande.sul;estrela.velha:municipal:decreto.legislativo,1,,leg
1014,br;rio.grande.sul;estrela.velha:municipal:emenda.lei.organica,1,,leg
1015,br;rio.grande.sul;estrela.velha:municipal:lei,141,,leg
1016,br;rio.grande.sul;estrela.velha:municipal:lei.organica,1,,leg
1017,br;rio.grande.sul;eugenio.castro:municipal:decreto,75,,leg
1018,br;rio.grande.sul;eugenio.castro:municipal:emenda.lei.organica,7,,leg
1019,br;rio.grande.sul;eugenio.castro:municipal:lei,191,,leg
1020,br;rio.grande.sul;eugenio.castro:municipal:lei.complementar,1,,leg
1021,br;rio.grande.sul;fagundes.varela:municipal:decreto,3,,leg
1022,br;rio.grande.sul;fagundes.varela:municipal:decreto.legislativo,3,,leg
1023,br;rio.grande.sul;fagundes.varela:municipal:emenda.lei.organica,4,,leg
1024,br;rio.grande.sul;fagundes.varela:municipal:lei,292,,leg
1025,br;rio.grande.sul;fagundes.varela:municipal:lei.organica,1,,leg
1026,br;rio.grande.sul;farroupilha:municipal:decreto,3,,leg
1027,br;rio.grande.sul;farroupilha:municipal:emenda.lei.organica,33,,leg
1028,br;rio.grande.sul;farroupilha:municipal:lei,147,,leg
1029,br;rio.grande.sul;farroupilha:municipal:lei.complementar,4,,leg
1030,br;rio.grande.sul;farroupilha:municipal:lei.organica,1,,leg
1031,br;rio.grande.sul;faxinal.soturno:municipal:decreto,39,,leg
1032,br;rio.grande.sul;faxinal.soturno:municipal:decreto.legislativo,1,,leg
1033,br;rio.grande.sul;faxinal.soturno:municipal:emenda.lei.organica,1,,leg
1034,br;rio.grande.sul;faxinal.soturno:municipal:lei,221,,leg
1035,br;rio.grande.sul;faxinalzinho:municipal:decreto,1,,leg
1036,br;rio.grande.sul;faxinalzinho:municipal:decreto.legislativo,6,,leg
1037,br;rio.grande.sul;faxinalzinho:municipal:emenda.lei.organica,7,,leg
1038,br;rio.grande.sul;faxinalzinho:municipal:lei,153,,leg
1039,br;rio.grande.sul;faxinalzinho:municipal:lei.complementar,2,,leg
1040,br;rio.grande.sul;faxinalzinho:municipal:lei.organica,1,,leg
1041,br;rio.grande.sul;fazenda.vilanova:municipal:decreto,20,,leg
1042,br;rio.grande.sul;fazenda.vilanova:municipal:decreto.legislativo,14,,leg
1043,br;rio.grande.sul;fazenda.vilanova:municipal:lei,804,,leg
1044,br;rio.grande.sul;fazenda.vilanova:municipal:lei.organica,2,,leg
1045,br;rio.grande.sul;feliz:municipal:decreto,180,,leg
1046,br;rio.grande.sul;feliz:municipal:decreto.legislativo,3,,leg
1047,br;rio.grande.sul;feliz:municipal:decreto.lei,1,,leg
1048,br;rio.grande.sul;feliz:municipal:emenda.lei.organica,4,,leg
1049,br;rio.grande.sul;feliz:municipal:lei,502,,leg
1050,br;rio.grande.sul;flores.cunha:municipal:decreto,71,,leg
1051,br;rio.grande.sul;flores.cunha:municipal:decreto.legislativo,2,,leg
1052,br;rio.grande.sul;flores.cunha:municipal:emenda.lei.organica,10,,leg
1053,br;rio.grande.sul;flores.cunha:municipal:lei,1357,,leg
1054,br;rio.grande.sul;flores.cunha:municipal:lei.complementar,77,,leg
1055,br;rio.grande.sul;flores.cunha:municipal:lei.organica,1,,leg
1056,br;rio.grande.sul;floriano.peixoto:municipal:decreto,1,,leg
1057,br;rio.grande.sul;floriano.peixoto:municipal:decreto.legislativo,3,,leg
1058,br;rio.grande.sul;floriano.peixoto:municipal:lei,197,,leg
1059,br;rio.grande.sul;floriano.peixoto:municipal:lei.complementar,10,,leg
1060,br;rio.grande.sul;fontoura.xavier:municipal:lei,31,,leg
1061,br;rio.grande.sul;formigueiro:municipal:decreto,8,,leg
1062,br;rio.grande.sul;formigueiro:municipal:decreto.legislativo,7,,leg
1063,br;rio.grande.sul;formigueiro:municipal:emenda.lei.organica,8,,leg
1064,br;rio.grande.sul;formigueiro:municipal:lei,229,,leg
1065,br;rio.grande.sul;formigueiro:municipal:lei.organica,1,,leg
1066,br;rio.grande.sul;forquetinha:municipal:decreto,1,,leg
1067,br;rio.grande.sul;forquetinha:municipal:decreto.legislativo,2,,leg
1068,br;rio.grande.sul;forquetinha:municipal:lei,163,,leg
1069,br;rio.grande.sul;forquetinha:municipal:lei.complementar,1,,leg
1070,br;rio.grande.sul;forquetinha:municipal:lei.organica,1,,leg
1071,br;rio.grande.sul;fortaleza.valos:municipal:decreto,21,,leg
1072,br;rio.grande.sul;fortaleza.valos:municipal:decreto.legislativo,6,,leg
1073,br;rio.grande.sul;fortaleza.valos:municipal:emenda.lei.organica,3,,leg
1074,br;rio.grande.sul;fortaleza.valos:municipal:lei,438,,leg
1075,br;rio.grande.sul;fortaleza.valos:municipal:lei.complementar,14,,leg
1076,br;rio.grande.sul;frederico.westphalen:municipal:decreto.legislativo,5,,leg
1077,br;rio.grande.sul;frederico.westphalen:municipal:emenda.lei.organica,6,,leg
1078,br;rio.grande.sul;frederico.westphalen:municipal:lei,260,,leg
1079,br;rio.grande.sul;frederico.westphalen:municipal:lei.complementar,2,,leg
1080,br;rio.grande.sul;frederico.westphalen:municipal:lei.organica,1,,leg
1081,br;rio.grande.sul;garibaldi:municipal:decreto,8,,leg
1082,br;rio.grande.sul;garibaldi:municipal:decreto.legislativo,2,,leg
1083,br;rio.grande.sul;garibaldi:municipal:emenda.lei.organica,1,,leg
1084,br;rio.grande.sul;garibaldi:municipal:lei,645,,leg
1085,br;rio.grande.sul;garibaldi:municipal:lei.complementar,6,,leg
1086,br;rio.grande.sul;garibaldi:municipal:lei.organica,1,,leg
1087,br;rio.grande.sul;garruchos:municipal:decreto,2,,leg
1088,br;rio.grande.sul;garruchos:municipal:emenda.lei.organica,3,,leg
1089,br;rio.grande.sul;garruchos:municipal:lei,46,,leg
1090,br;rio.grande.sul;gaurama:municipal:decreto,2,,leg
1091,br;rio.grande.sul;gaurama:municipal:decreto.legislativo,25,,leg
1092,br;rio.grande.sul;gaurama:municipal:lei,719,,leg
1093,br;rio.grande.sul;general.camara:municipal:decreto,1,,leg
1094,br;rio.grande.sul;general.camara:municipal:lei,191,,leg
1095,br;rio.grande.sul;general.camara:municipal:lei.complementar,1,,leg
1096,br;rio.grande.sul;gentil:municipal:decreto,1,,leg
1097,br;rio.grande.sul;gentil:municipal:lei,77,,leg
1098,br;rio.grande.sul;getulio.vargas:municipal:decreto,14,,leg
1099,br;rio.grande.sul;getulio.vargas:municipal:decreto.legislativo,10,,leg
1100,br;rio.grande.sul;getulio.vargas:municipal:emenda.lei.organica,1,,leg
1101,br;rio.grande.sul;getulio.vargas:municipal:lei,972,,leg
1102,br;rio.grande.sul;getulio.vargas:municipal:lei.organica,1,,leg
1103,br;rio.grande.sul;girua:municipal:decreto,3,,leg
1104,br;rio.grande.sul;girua:municipal:emenda.lei.organica,1,,leg
1105,br;rio.grande.sul;girua:municipal:lei,860,,leg
1106,br;rio.grande.sul;girua:municipal:lei.organica,1,,leg
1107,br;rio.grande.sul;glorinha:municipal:decreto,25,,leg
1108,br;rio.grande.sul;glorinha:municipal:emenda.lei.organica,6,,leg
1109,br;rio.grande.sul;glorinha:municipal:lei,131,,leg
1110,br;rio.grande.sul;gramado.loureiros:municipal:decreto.legislativo,23,,leg
1111,br;rio.grande.sul;gramado.loureiros:municipal:lei,226,,leg
1112,br;rio.grande.sul;gramado.loureiros:municipal:lei.organica,1,,leg
1113,br;rio.grande.sul;gramado:municipal:decreto,27,,leg
1114,br;rio.grande.sul;gramado:municipal:decreto.legislativo,1,,leg
1115,br;rio.grande.sul;gramado:municipal:emenda.lei.organica,1,,leg
1116,br;rio.grande.sul;gramado:municipal:lei,250,,leg
1117,br;rio.grande.sul;gramado:municipal:lei.organica,2,,leg
1118,br;rio.grande.sul;gramado.xavier:municipal:decreto,2,,leg
1119,br;rio.grande.sul;gramado.xavier:municipal:decreto.legislativo,1,,leg
1120,br;rio.grande.sul;gramado.xavier:municipal:lei,224,,leg
1121,br;rio.grande.sul;gramado.xavier:municipal:lei.organica,1,,leg
1122,br;rio.grande.sul;gravatai:municipal:decreto,30,,leg
1123,br;rio.grande.sul;gravatai:municipal:lei,346,,leg
1124,br;rio.grande.sul;gravatai:municipal:lei.complementar,1,,leg
1125,br;rio.grande.sul;gravatai:municipal:lei.organica,1,,leg
1126,br;rio.grande.sul;guabiju:municipal:decreto,1,,leg
1127,br;rio.grande.sul;guabiju:municipal:decreto.legislativo,9,,leg
1128,br;rio.grande.sul;guabiju:municipal:emenda.lei.organica,1,,leg
1129,br;rio.grande.sul;guabiju:municipal:lei,931,,leg
1130,br;rio.grande.sul;guabiju:municipal:lei.organica,1,,leg
1131,br;rio.grande.sul;guaiba:municipal:decreto,75,,leg
1132,br;rio.grande.sul;guaiba:municipal:decreto.legislativo,11,,leg
1133,br;rio.grande.sul;guaiba:municipal:emenda.lei.organica,1,,leg
1134,br;rio.grande.sul;guaiba:municipal:lei,191,,leg
1135,br;rio.grande.sul;guaiba:municipal:lei.complementar,4,,leg
1136,br;rio.grande.sul;guapore:municipal:decreto,412,,leg
1137,br;rio.grande.sul;guapore:municipal:decreto.legislativo,17,,leg
1138,br;rio.grande.sul;guapore:municipal:emenda.lei.organica,7,,leg
1139,br;rio.grande.sul;guapore:municipal:lei,435,,leg
1140,br;rio.grande.sul;guarani.missoes:municipal:decreto,3,,leg
1141,br;rio.grande.sul;guarani.missoes:municipal:decreto.legislativo,1,,leg
1142,br;rio.grande.sul;guarani.missoes:municipal:lei,343,,leg
1143,br;rio.grande.sul;guarani.missoes:municipal:lei.complementar,5,,leg
1144,br;rio.grande.sul;guarani.missoes:municipal:lei.organica,1,,leg
1145,br;rio.grande.sul;harmonia:municipal:decreto,1,,leg
1146,br;rio.grande.sul;harmonia:municipal:lei,500,,leg
1147,br;rio.grande.sul;harmonia:municipal:lei.complementar,31,,leg
1148,br;rio.grande.sul;harmonia:municipal:lei.organica,1,,leg
1149,br;rio.grande.sul;herval:municipal:decreto,238,,leg
1150,br;rio.grande.sul;herval:municipal:lei,213,,leg
1151,br;rio.grande.sul;herval:municipal:lei.organica,1,,leg
1152,br;rio.grande.sul;herveiras:municipal:decreto,10,,leg
1153,br;rio.grande.sul;herveiras:municipal:decreto.legislativo,2,,leg
1154,br;rio.grande.sul;herveiras:municipal:lei,227,,leg
1155,br;rio.grande.sul;herveiras:municipal:lei.complementar,6,,leg
1156,br;rio.grande.sul;horizontina:municipal:decreto,174,,leg
1157,br;rio.grande.sul;horizontina:municipal:decreto.legislativo,2,,leg
1158,br;rio.grande.sul;horizontina:municipal:emenda.lei.organica,1,,leg
1159,br;rio.grande.sul;horizontina:municipal:lei,317,,leg
1160,br;rio.grande.sul;horizontina:municipal:lei.organica,1,,leg
1161,br;rio.grande.sul;hulha.negra:municipal:decreto,4,,leg
1162,br;rio.grande.sul;hulha.negra:municipal:decreto.legislativo,24,,leg
1163,br;rio.grande.sul;hulha.negra:municipal:lei,220,,leg
1164,br;rio.grande.sul;hulha.negra:municipal:lei.complementar,36,,leg
1165,br;rio.grande.sul;hulha.negra:municipal:lei.organica,1,,leg
1166,br;rio.grande.sul;humaita:municipal:decreto,13,,leg
1167,br;rio.grande.sul;humaita:municipal:emenda.lei.organica,1,,leg
1168,br;rio.grande.sul;humaita:municipal:lei,148,,leg
1169,br;rio.grande.sul;humaita:municipal:lei.organica,1,,leg
1170,br;rio.grande.sul;ibarama:municipal:decreto,169,,leg
1171,br;rio.grande.sul;ibarama:municipal:decreto.legislativo,7,,leg
1172,br;rio.grande.sul;ibarama:municipal:emenda.lei.organica,1,,leg
1173,br;rio.grande.sul;ibarama:municipal:lei,382,,leg
1174,br;rio.grande.sul;ibarama:municipal:lei.organica,1,,leg
1175,br;rio.grande.sul;ibiaca:municipal:decreto,38,,leg
1176,br;rio.grande.sul;ibiaca:municipal:decreto.legislativo,29,,leg
1177,br;rio.grande.sul;ibiaca:municipal:emenda.lei.organica,1,,leg
1178,br;rio.grande.sul;ibiaca:municipal:lei,171,,leg
1179,br;rio.grande.sul;ibiaca:municipal:lei.organica,1,,leg
1180,br;rio.grande.sul;ibiraiaras:municipal:decreto,2,,leg
1181,br;rio.grande.sul;ibiraiaras:municipal:decreto.legislativo,2,,leg
1182,br;rio.grande.sul;ibiraiaras:municipal:lei,108,,leg
1183,br;rio.grande.sul;ibirapuita:municipal:decreto,1,,leg
1184,br;rio.grande.sul;ibirapuita:municipal:decreto.legislativo,4,,leg
1185,br;rio.grande.sul;ibirapuita:municipal:lei,225,,leg
1186,br;rio.grande.sul;ibirapuita:municipal:lei.complementar,1,,leg
1187,br;rio.grande.sul;ibirapuita:municipal:lei.organica,1,,leg
1188,br;rio.grande.sul;ibiruba:municipal:decreto,1,,leg
1189,br;rio.grande.sul;ibiruba:municipal:decreto.legislativo,9,,leg
1190,br;rio.grande.sul;ibiruba:municipal:emenda.lei.organica,4,,leg
1191,br;rio.grande.sul;ibiruba:municipal:lei,99,,leg
1192,br;rio.grande.sul;ibiruba:municipal:lei.complementar,25,,leg
1193,br;rio.grande.sul;ibiruba:municipal:lei.organica,1,,leg
1194,br;rio.grande.sul;igrejinha:municipal:decreto,10,,leg
1195,br;rio.grande.sul;igrejinha:municipal:emenda.lei.organica,14,,leg
1196,br;rio.grande.sul;igrejinha:municipal:lei,353,,leg
1197,br;rio.grande.sul;igrejinha:municipal:lei.organica,1,,leg
1198,br;rio.grande.sul;ijui:municipal:decreto,695,,leg
1199,br;rio.grande.sul;ijui:municipal:emenda.lei.organica,23,,leg
1200,br;rio.grande.sul;ijui:municipal:lei,783,,leg
1201,br;rio.grande.sul;ijui:municipal:lei.complementar,1,,leg
1202,br;rio.grande.sul;ijui:municipal:lei.organica,1,,leg
1203,br;rio.grande.sul;ilopolis:municipal:decreto,15,,leg
1204,br;rio.grande.sul;ilopolis:municipal:decreto.legislativo,9,,leg
1205,br;rio.grande.sul;ilopolis:municipal:lei,174,,leg
1206,br;rio.grande.sul;ilopolis:municipal:lei.complementar,3,,leg
1207,br;rio.grande.sul;imbe:municipal:decreto,88,,leg
1208,br;rio.grande.sul;imbe:municipal:decreto.legislativo,2,,leg
1209,br;rio.grande.sul;imbe:municipal:emenda.lei.organica,14,,leg
1210,br;rio.grande.sul;imbe:municipal:lei,298,,leg
1211,br;rio.grande.sul;imbe:municipal:lei.complementar,4,,leg
1212,br;rio.grande.sul;imbe:municipal:lei.organica,1,,leg
1213,br;rio.grande.sul;imigrante:municipal:decreto,110,,leg
1214,br;rio.grande.sul;imigrante:municipal:decreto.legislativo,3,,leg
1215,br;rio.grande.sul;imigrante:municipal:lei,211,,leg
1216,br;rio.grande.sul;imigrante:municipal:lei.organica,1,,leg
1217,br;rio.grande.sul;independencia:municipal:decreto,3,,leg
1218,br;rio.grande.sul;independencia:municipal:decreto.legislativo,1,,leg
1219,br;rio.grande.sul;independencia:municipal:lei,327,,leg
1220,br;rio.grande.sul;independencia:municipal:lei.complementar,11,,leg
1221,br;rio.grande.sul;independencia:municipal:lei.organica,1,,leg
1222,br;rio.grande.sul;inhacora:municipal:emenda.lei.organica,1,,leg
1223,br;rio.grande.sul;inhacora:municipal:lei,74,,leg
1224,br;rio.grande.sul;inhacora:municipal:lei.organica,1,,leg
1225,br;rio.grande.sul;ipe:municipal:decreto.legislativo,1,,leg
1226,br;rio.grande.sul;ipe:municipal:emenda.lei.organica,3,,leg
1227,br;rio.grande.sul;ipe:municipal:lei,229,,leg
1228,br;rio.grande.sul;ipiranga.sul:municipal:decreto,6,,leg
1229,br;rio.grande.sul;ipiranga.sul:municipal:decreto.legislativo,1,,leg
1230,br;rio.grande.sul;ipiranga.sul:municipal:lei,77,,leg
1231,br;rio.grande.sul;irai:municipal:decreto,1,,leg
1232,br;rio.grande.sul;irai:municipal:decreto.legislativo,6,,leg
1233,br;rio.grande.sul;irai:municipal:lei,429,,leg
1234,br;rio.grande.sul;irai:municipal:lei.complementar,2,,leg
1235,br;rio.grande.sul;irai:municipal:lei.organica,1,,leg
1236,br;rio.grande.sul;itaara:municipal:lei,219,,leg
1237,br;rio.grande.sul;itacurubi:municipal:emenda.lei.organica,10,,leg
1238,br;rio.grande.sul;itacurubi:municipal:lei,104,,leg
1239,br;rio.grande.sul;itacurubi:municipal:lei.organica,1,,leg
1240,br;rio.grande.sul;itapuca:municipal:decreto,211,,leg
1241,br;rio.grande.sul;itapuca:municipal:decreto.legislativo,2,,leg
1242,br;rio.grande.sul;itapuca:municipal:emenda.lei.organica,1,,leg
1243,br;rio.grande.sul;itapuca:municipal:lei,390,,leg
1244,br;rio.grande.sul;itapuca:municipal:lei.organica,1,,leg
1245,br;rio.grande.sul;itaqui:municipal:decreto,16,,leg
1246,br;rio.grande.sul;itaqui:municipal:decreto.legislativo,2,,leg
1247,br;rio.grande.sul;itaqui:municipal:emenda.lei.organica,9,,leg
1248,br;rio.grande.sul;itaqui:municipal:lei,507,,leg
1249,br;rio.grande.sul;itaqui:municipal:lei.organica,1,,leg
1250,br;rio.grande.sul;itatiba.sul:municipal:decreto,4,,leg
1251,br;rio.grande.sul;itatiba.sul:municipal:emenda.lei.organica,2,,leg
1252,br;rio.grande.sul;itatiba.sul:municipal:lei,123,,leg
1253,br;rio.grande.sul;itatiba.sul:municipal:lei.complementar,1,,leg
1254,br;rio.grande.sul;itatiba.sul:municipal:lei.organica,1,,leg
1255,br;rio.grande.sul;itati:municipal:decreto.legislativo,2,,leg
1256,br;rio.grande.sul;itati:municipal:lei,224,,leg
1257,br;rio.grande.sul;ivora:municipal:decreto,17,,leg
1258,br;rio.grande.sul;ivora:municipal:lei,107,,leg
1259,br;rio.grande.sul;ivora:municipal:lei.complementar,1,,leg
1260,br;rio.grande.sul;ivora:municipal:lei.organica,1,,leg
1261,br;rio.grande.sul;ivoti:municipal:decreto,2,,leg
1262,br;rio.grande.sul;ivoti:municipal:decreto.legislativo,1,,leg
1263,br;rio.grande.sul;ivoti:municipal:emenda.lei.organica,1,,leg
1264,br;rio.grande.sul;ivoti:municipal:lei,259,,leg
1265,br;rio.grande.sul;ivoti:municipal:lei.complementar,3,,leg
1266,br;rio.grande.sul;ivoti:municipal:lei.organica,1,,leg
1267,br;rio.grande.sul;jaboticaba:municipal:decreto,1,,leg
1268,br;rio.grande.sul;jaboticaba:municipal:lei,284,,leg
1269,br;rio.grande.sul;jacuizinho:municipal:decreto,2,,leg
1270,br;rio.grande.sul;jacuizinho:municipal:decreto.legislativo,7,,leg
1271,br;rio.grande.sul;jacuizinho:municipal:emenda.lei.organica,2,,leg
1272,br;rio.grande.sul;jacuizinho:municipal:lei,445,,leg
1273,br;rio.grande.sul;jacutinga:municipal:decreto,11,,leg
1274,br;rio.grande.sul;jacutinga:municipal:decreto.legislativo,2,,leg
1275,br;rio.grande.sul;jacutinga:municipal:lei,81,,leg
1276,br;rio.grande.sul;jacutinga:municipal:lei.complementar,1,,leg
1277,br;rio.grande.sul;jacutinga:municipal:lei.organica,1,,leg
1278,br;rio.grande.sul;jaguarao:municipal:decreto,1,,leg
1279,br;rio.grande.sul;jaguarao:municipal:decreto.legislativo,1,,leg
1280,br;rio.grande.sul;jaguarao:municipal:emenda.lei.organica,2,,leg
1281,br;rio.grande.sul;jaguarao:municipal:lei,367,,leg
1282,br;rio.grande.sul;jaguarao:municipal:lei.complementar,3,,leg
1283,br;rio.grande.sul;jaguari:municipal:decreto,1,,leg
1284,br;rio.grande.sul;jaguari:municipal:decreto.legislativo,3,,leg
1285,br;rio.grande.sul;jaguari:municipal:emenda.lei.organica,1,,leg
1286,br;rio.grande.sul;jaguari:municipal:lei,124,,leg
1287,br;rio.grande.sul;jaguari:municipal:lei.organica,1,,leg
1288,br;rio.grande.sul;jaquirana:municipal:decreto,1,,leg
1289,br;rio.grande.sul;jaquirana:municipal:decreto.legislativo,3,,leg
1290,br;rio.grande.sul;jaquirana:municipal:lei,197,,leg
1291,br;rio.grande.sul;jari:municipal:decreto,3,,leg
1292,br;rio.grande.sul;jari:municipal:decreto.legislativo,4,,leg
1293,br;rio.grande.sul;jari:municipal:emenda.lei.organica,2,,leg
1294,br;rio.grande.sul;jari:municipal:lei,474,,leg
1295,br;rio.grande.sul;jari:municipal:lei.complementar,1,,leg
1296,br;rio.grande.sul;jari:municipal:lei.organica,1,,leg
1297,br;rio.grande.sul;joia:municipal:decreto,25,,leg
1298,br;rio.grande.sul;joia:municipal:decreto.legislativo,6,,leg
1299,br;rio.grande.sul;joia:municipal:emenda.lei.organica,4,,leg
1300,br;rio.grande.sul;joia:municipal:lei,564,,leg
1301,br;rio.grande.sul;joia:municipal:lei.organica,1,,leg
1302,br;rio.grande.sul;julio.castilhos:municipal:decreto,15,,leg
1303,br;rio.grande.sul;julio.castilhos:municipal:decreto.legislativo,16,,leg
